Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts,Date
505,Arctic Monkeys,130,122,94,36,2022-11-05
Heyy,Lil Baby,131,38,38,2,2022-11-05
Ojos Marrones,Lasso,132,128,66,17,2022-11-05
Celestial,Ed Sheeran,133,90,42,4,2022-11-05
Never Hating,Lil Baby & Young Thug,134,32,32,2,2022-11-05
Viva La Vida,Coldplay,135,138,114,10,2022-11-05
I'm Not The Only One,Sam Smith,136,121,94,10,2022-11-05
Bam Bam,Camila Cabello Featuring Ed Sheeran,137,119,5,34,2022-11-05
In A Minute,Lil Baby,138,53,27,17,2022-11-05
Sweet Child O' Mine,Guns N' Roses,139,126,57,81,2022-11-05
Murder In My Mind,Kordhell,140,134,113,11,2022-11-05
Mary On A Cross,Ghost,141,124,50,10,2022-11-05
Last Last,Burna Boy,142,110,39,21,2022-11-05
Do I Wanna Know?,Arctic Monkeys,143,148,119,23,2022-11-05
Ghost,Justin Bieber,144,120,16,58,2022-11-05
No Role Modelz,J. Cole,145,136,97,71,2022-11-05
Watermelon Sugar,Harry Styles,146,127,9,112,2022-11-05
Break My Soul,Beyonce,147,101,6,19,2022-11-05
2 Be Loved (Am I Ready),Lizzo,148,130,101,8,2022-11-05
Vista Al Mar,Quevedo,149,140,114,6,2022-11-05
Call Out My Name,The Weeknd,150,146,97,19,2022-11-05
The Blessing,YOASOBI,151,123,76,4,2022-11-05
Not Finished,Lil Baby,152,39,39,2,2022-11-05
abcdefu,GAYLE,153,139,1,50,2022-11-05
One Kiss,Calvin Harris & Dua Lipa,154,141,43,22,2022-11-05
The Real Slim Shady,Eminem,155,160,59,43,2022-11-05
Besos Moja2,Wisin & Yandel + Rosalia,156,169,156,4,2022-11-05
Shinunoga E-Wa,Fujii Kaze,157,153,118,7,2022-11-05
Thank God,Kane Brown With Katelyn Brown,158,129,62,7,2022-11-05
Stand On It,Lil Baby,159,36,36,2,2022-11-05
Circles,Post Malone,160,154,49,112,2022-11-05
The Hills,The Weeknd,161,165,44,41,2022-11-05
La Corriente,Bad Bunny & Tony Dize,162,150,17,25,2022-11-05
Overdose,natori,163,163,163,3,2022-11-05
Shallow,Lady Gaga & Bradley Cooper,164,145,59,112,2022-11-05
Dark Red,Steve Lacy,165,-,132,32,2022-11-05
"Sex, Drugs, Etc.",Beach Weather,166,144,128,8,2022-11-05
Talk That Talk,TWICE,167,133,18,9,2022-11-05
Smells Like Teen Spirit,Nirvana,168,162,92,93,2022-11-05
I Was Never There,The Weeknd Featuring Gesaffelstein,169,143,119,14,2022-11-05
Something Just Like This,The Chainsmokers & Coldplay,170,174,102,95,2022-11-05
Blank Space,Taylor Swift,171,193,157,20,2022-11-05
Baby Otaku,Pablo Pesadilla x Polima Westcoast x Nicko OG,172,131,102,5,2022-11-05
When I Was Your Man,Bruno Mars,173,173,157,9,2022-11-05
Pop Out,Lil Baby & Nardo Wick,174,28,28,2,2022-11-05
Dynamite,BTS,175,142,1,112,2022-11-05
Middle Of The Night,Elley Duhe,176,157,25,41,2022-11-05
Only Love Can Hurt Like This,Paloma Faith,177,149,75,24,2022-11-05
Wasted On You,Morgan Wallen,178,161,19,40,2022-11-05
Eu Gosto Assim,Gustavo Mioto & Mari Fernandez,179,-,179,1,2022-11-05
Dakiti,Bad Bunny & Jhay Cortez,180,180,1,104,2022-11-05
Dance Monkey,Tones And I,181,158,16,112,2022-11-05
Counting Stars,OneRepublic,182,166,96,87,2022-11-05
First Class,Jack Harlow,183,151,2,29,2022-11-05
Bye Bye,Marshmello & Juice WRLD,184,56,56,2,2022-11-05
Lose Yourself,Eminem,185,184,25,38,2022-11-05
MAMIII,Becky G X Karol G,186,171,4,37,2022-11-05
Bohemian Rhapsody,Queen,187,168,97,108,2022-11-05
New Genesis,Ado,188,147,20,13,2022-11-05
Riptide,Vance Joy,189,183,130,67,2022-11-05
Take Me To Church,Hozier,190,178,123,88,2022-11-05
La Cancion,J Balvin & Bad Bunny,191,187,123,28,2022-11-05
In Da Club,50 Cent,192,167,44,37,2022-11-05
Take On Me,a-ha,193,179,139,60,2022-11-05
Desesperados,Rauw Alejandro & Chencho Corleone,194,-,13,44,2022-11-05
Ultra Solo,Polima WestCoast Featuring Pailita,195,181,24,26,2022-11-05
Every Breath You Take,The Police,196,185,107,33,2022-11-05
Remember,Becky Hill & David Guetta,197,-,89,12,2022-11-05
Woman,Doja Cat,198,189,11,67,2022-11-05
Dark Horse,Katy Perry Featuring Juicy J,199,155,154,3,2022-11-05
Where Are You Now,Lost Frequencies & Calum Scott,200,176,22,59,2022-11-05
Anti-Hero,Taylor Swift,1,1,1,2,2022-11-12
Unholy,Sam Smith & Kim Petras,2,6,1,6,2022-11-12
Lift Me Up,Rihanna,3,-,3,1,2022-11-12
I'm Good (Blue),David Guetta & Bebe Rexha,4,15,2,10,2022-11-12
Lavender Haze,Taylor Swift,5,2,2,2,2022-11-12
Midnight Rain,Taylor Swift,6,5,5,2,2022-11-12
Snow On The Beach,Taylor Swift Featuring Lana Del Rey,7,3,3,2,2022-11-12
Maroon,Taylor Swift,8,4,4,2,2022-11-12
Bejeweled,Taylor Swift,9,8,8,2,2022-11-12
The Astronaut,JIN,10,-,10,1,2022-11-12
Under The Influence,Chris Brown,11,16,3,15,2022-11-12
"You're On Your Own, Kid",Taylor Swift,12,7,7,2,2022-11-12
Karma,Taylor Swift,13,10,10,2,2022-11-12
As It Was,Harry Styles,14,17,1,31,2022-11-12
Vigilante Shit,Taylor Swift,15,9,9,2,2022-11-12
La Bachata,Manuel Turizo,16,19,6,17,2022-11-12
Calm Down,Rema & Selena Gomez,17,23,7,18,2022-11-12
Shirt,SZA,18,-,18,1,2022-11-12
Question...?,Taylor Swift,19,11,11,2,2022-11-12
I Ain't Worried,OneRepublic,20,20,5,22,2022-11-12
Miss You,Oliver Tree & Robin Schulz,21,32,19,4,2022-11-12
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,22,27,1,17,2022-11-12
Titi Me Pregunto,Bad Bunny,23,28,4,26,2022-11-12
Bad Habit,Steve Lacy,24,25,8,17,2022-11-12
Me Porto Bonito,Bad Bunny & Chencho Corleone,25,26,2,26,2022-11-12
Monotonia,Shakira + Ozuna,26,18,18,2,2022-11-12
Cuff It,Beyonce,27,29,12,14,2022-11-12
Just Dance!,Travis Japan,28,-,28,1,2022-11-12
Mastermind,Taylor Swift,29,13,13,2,2022-11-12
Kick Back,Kenshi Yonezu,30,34,13,4,2022-11-12
Another Love,Tom Odell,31,33,14,79,2022-11-12
Labyrinth,Taylor Swift,32,12,12,2,2022-11-12
Made You Look,Meghan Trainor,33,84,33,2,2022-11-12
Sweet Nothing,Taylor Swift,34,14,14,2,2022-11-12
Subtitle,Official HIGE DANdism,35,44,35,3,2022-11-12
Despecha,Rosalia,36,36,6,14,2022-11-12
Thriller,Michael Jackson,37,-,28,5,2022-11-12
Efecto,Bad Bunny,38,41,7,26,2022-11-12
Snap,Rosa Linn,39,39,18,17,2022-11-12
Golden Hour,JVKE,40,48,40,10,2022-11-12
Bones,Imagine Dragons,41,49,32,34,2022-11-12
Save Your Tears,The Weeknd & Ariana Grande,42,43,1,96,2022-11-12
Super Freaky Girl,Nicki Minaj,43,42,5,12,2022-11-12
Antifragile,LE SSERAFIM,44,38,38,3,2022-11-12
Heat Waves,Glass Animals,45,45,1,96,2022-11-12
Shut Down,BLACKPINK,46,40,1,7,2022-11-12
No Se Va,Grupo Frontera,47,47,31,6,2022-11-12
Ojitos Lindos,Bad Bunny & Bomba Estereo,48,51,4,26,2022-11-12
Blinding Lights,The Weeknd,49,60,2,113,2022-11-12
Something In The Orange,Zach Bryan,50,46,23,27,2022-11-12
"Would've, Could've, Should've",Taylor Swift,51,21,21,2,2022-11-12
Die For You,The Weeknd,52,55,36,35,2022-11-12
Sweater Weather,The Neighbourhood,53,52,25,110,2022-11-12
Jimmy Cooks,Drake Featuring 21 Savage,54,57,3,20,2022-11-12
In My Head,Juice WRLD,55,-,55,1,2022-11-12
Moscow Mule,Bad Bunny,56,54,2,26,2022-11-12
Stay,The Kid LAROI & Justin Bieber,57,58,1,69,2022-11-12
Ghostbusters,Ray Parker Jr.,58,-,46,3,2022-11-12
The Great War,Taylor Swift,59,24,24,2,2022-11-12
Bigger Than The Whole Sky,Taylor Swift,60,22,22,2,2022-11-12
Pink Venom,BLACKPINK,61,53,1,11,2022-11-12
Just Wanna Rock,Lil Uzi Vert,62,59,59,3,2022-11-12
Romantic Homicide,d4vd,63,56,35,9,2022-11-12
Cold Heart (PNAU Remix),Elton John & Dua Lipa,64,61,3,64,2022-11-12
Hey Mor,Ozuna Featuring Feid,65,88,65,3,2022-11-12
Neverita,Bad Bunny,66,62,16,26,2022-11-12
Levitating,Dua Lipa,67,65,2,109,2022-11-12
Hold Me Closer,Elton John & Britney Spears,68,63,6,10,2022-11-12
Until I Found You,Stephen Sanchez,69,67,44,25,2022-11-12
Shivers,Ed Sheeran,70,64,3,60,2022-11-12
Nxde,(G)I-DLE,71,50,50,2,2022-11-12
Glimpse Of Us,Joji,72,71,2,21,2022-11-12
Sunroof,Nicky Youre & dazy,73,69,26,24,2022-11-12
I Like You (A Happier Song),Post Malone Featuring Doja Cat,74,70,7,22,2022-11-12
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,75,66,21,6,2022-11-12
Provenza,Karol G,76,68,6,28,2022-11-12
Paris,Taylor Swift,77,30,30,2,2022-11-12
Running Up That Hill (A Deal With God),Kate Bush,78,81,1,23,2022-11-12
Punto 40,Rauw Alejandro & Baby Rasta,79,75,75,4,2022-11-12
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",80,-,54,3,2022-11-12
This Is Halloween,Danny Elfman,81,-,66,3,2022-11-12
Bad Habits,Ed Sheeran,82,76,1,71,2022-11-12
Feliz Cumpleanos Ferxxo,Feid,83,82,61,9,2022-11-12
Mockingbird,Eminem,84,96,84,3,2022-11-12
Wait For U,Future Featuring Drake & Tems,85,77,2,27,2022-11-12
Lokera,"Rauw Alejandro, Lyanno & Brray",86,73,55,12,2022-11-12
Perfect,Ed Sheeran,87,83,30,113,2022-11-12
High Infidelity,Taylor Swift,88,31,31,2,2022-11-12
How Do I Say Goodbye,Dean Lewis,89,90,89,5,2022-11-12
About Damn Time,Lizzo,90,79,6,29,2022-11-12
Left And Right,Charlie Puth Featuring Jung Kook,91,78,5,19,2022-11-12
Gatubela,Karol G x Maldy,92,80,23,10,2022-11-12
Late Night Talking,Harry Styles,93,74,2,24,2022-11-12
Somebody's Watching Me,Rockwell,94,-,35,4,2022-11-12
Gangsta's Paradise,Coolio Featuring L.V.,95,87,21,68,2022-11-12
Ferrari,James Hype & Miggy Dela Rosa,96,91,25,20,2022-11-12
Enemy,Imagine Dragons X JID,97,92,3,53,2022-11-12
I Wanna Be Yours,Arctic Monkeys,98,89,73,9,2022-11-12
California Breeze,Lil Baby,99,72,15,3,2022-11-12
Forget Me,Lewis Capaldi,100,94,48,8,2022-11-12
Glitch,Taylor Swift,101,35,35,2,2022-11-12
B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,102,95,47,10,2022-11-12
Starboy,The Weeknd Featuring Daft Punk,103,102,52,70,2022-11-12
Yellow,Coldplay,104,101,68,82,2022-11-12
Hype Boy,NewJeans,105,105,52,13,2022-11-12
"Spooky, Scary Skeletons",Andrew Gold,106,-,106,2,2022-11-12
Vegas,Doja Cat,107,103,28,23,2022-11-12
Tomorrow 2,GloRilla & Cardi B,108,93,39,6,2022-11-12
Pepas,Farruko,109,115,7,68,2022-11-12
Dear Reader,Taylor Swift,110,37,37,2,2022-11-12
You Proof,Morgan Wallen,111,99,22,25,2022-11-12
Someone You Loved,Lewis Capaldi,112,107,24,113,2022-11-12
Believer,Imagine Dragons,113,108,52,113,2022-11-12
Unstoppable,Sia,114,111,83,38,2022-11-12
Easy On Me,Adele,115,113,1,56,2022-11-12
Baby Shark,Pinkfong,116,104,38,112,2022-11-12
Te Felicito,Shakira & Rauw Alejandro,117,98,11,28,2022-11-12
Without Me,Eminem,118,110,39,56,2022-11-12
Miss You,southstar,119,97,71,3,2022-11-12
Happier Than Ever,Billie Eilish,120,100,6,66,2022-11-12
Doja,Central Cee,121,106,19,15,2022-11-12
Dandelions,Ruth B.,122,112,51,42,2022-11-12
Shape Of You,Ed Sheeran,123,118,55,113,2022-11-12
Industry Baby,Lil Nas X & Jack Harlow,124,120,2,67,2022-11-12
Rock And A Hard Place,Bailey Zimmerman,125,114,59,21,2022-11-12
After Like,IVE,126,116,20,11,2022-11-12
Lovely,Billie Eilish & Khalid,127,124,70,113,2022-11-12
Party,Bad Bunny & Rauw Alejandro,128,122,8,26,2022-11-12
Mary On A Cross,Ghost,129,141,50,11,2022-11-12
Hotel Lobby (Unc And Phew),Quavo & Takeoff,130,-,106,6,2022-11-12
Tarot,Bad Bunny & Jhay Cortez,131,121,9,26,2022-11-12
Viva La Vida,Coldplay,132,135,114,11,2022-11-12
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,133,126,41,113,2022-11-12
Billie Eilish.,Armani White,134,125,87,9,2022-11-12
Ghost,Justin Bieber,135,144,16,59,2022-11-12
The Kind Of Love We Make,Luke Combs,136,129,38,20,2022-11-12
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,137,117,89,16,2022-11-12
Forever,Lil Baby Featuring Fridayy,138,85,23,3,2022-11-12
Evergreen,Omar Apollo,139,109,59,7,2022-11-12
Overdose,natori,140,163,140,4,2022-11-12
Sweet Child O' Mine,Guns N' Roses,141,139,57,82,2022-11-12
Murder In My Mind,Kordhell,142,140,113,12,2022-11-12
Numb,Marshmello & Khalid,143,128,66,21,2022-11-12
Besos Moja2,Wisin & Yandel + Rosalia,144,156,144,5,2022-11-12
Bam Bam,Camila Cabello Featuring Ed Sheeran,145,137,5,35,2022-11-12
No Role Modelz,J. Cole,146,145,97,72,2022-11-12
Dark Horse,Katy Perry Featuring Juicy J,147,199,147,4,2022-11-12
I'm Not The Only One,Sam Smith,148,136,94,11,2022-11-12
Ojos Marrones,Lasso,149,132,66,18,2022-11-12
The Blessing,YOASOBI,150,151,76,5,2022-11-12
The Loneliest,Maneskin,151,127,75,4,2022-11-12
505,Arctic Monkeys,152,130,94,37,2022-11-12
Thank God,Kane Brown With Katelyn Brown,153,158,62,8,2022-11-12
Vista Al Mar,Quevedo,154,149,114,7,2022-11-12
Watermelon Sugar,Harry Styles,155,146,9,113,2022-11-12
abcdefu,GAYLE,156,153,1,51,2022-11-12
Last Last,Burna Boy,157,142,39,22,2022-11-12
When I Was Your Man,Bruno Mars,158,173,157,10,2022-11-12
Poland,Lil Yachty,159,86,29,4,2022-11-12
Call Out My Name,The Weeknd,160,150,97,20,2022-11-12
Shinunoga E-Wa,Fujii Kaze,161,157,118,8,2022-11-12
One Kiss,Calvin Harris & Dua Lipa,162,154,43,23,2022-11-12
Ku Lo Sa,Oxlade,163,123,79,9,2022-11-12
New Genesis,Ado,164,188,20,14,2022-11-12
The Real Slim Shady,Eminem,165,155,59,44,2022-11-12
My Universe,Coldplay x BTS,166,-,1,57,2022-11-12
Do I Wanna Know?,Arctic Monkeys,167,143,119,24,2022-11-12
Shallow,Lady Gaga & Bradley Cooper,168,164,59,113,2022-11-12
Circles,Post Malone,169,160,49,113,2022-11-12
Something Just Like This,The Chainsmokers & Coldplay,170,170,102,96,2022-11-12
Highway To Hell,AC/DC,171,-,142,3,2022-11-12
All I Want For Christmas Is You,Mariah Carey,172,-,1,20,2022-11-12
The Hills,The Weeknd,173,161,44,42,2022-11-12
Break My Soul,Beyonce,174,147,6,20,2022-11-12
Dark Red,Steve Lacy,175,165,132,33,2022-11-12
2 Be Loved (Am I Ready),Lizzo,176,148,101,9,2022-11-12
La Corriente,Bad Bunny & Tony Dize,177,162,17,26,2022-11-12
Dance Monkey,Tones And I,178,181,16,113,2022-11-12
La Cancion,J Balvin & Bad Bunny,179,191,123,29,2022-11-12
I Was Never There,The Weeknd Featuring Gesaffelstein,180,169,119,15,2022-11-12
Celestial,Ed Sheeran,181,133,42,5,2022-11-12
Dakiti,Bad Bunny & Jhay Cortez,182,180,1,105,2022-11-12
Lose Yourself,Eminem,183,185,25,39,2022-11-12
Dynamite,BTS,184,175,1,113,2022-11-12
Bad Guy,Billie Eilish,185,-,54,108,2022-11-12
Sweet Dreams (Are Made Of This),Eurythmics,186,-,186,1,2022-11-12
Take On Me,a-ha,187,193,139,61,2022-11-12
MAMIII,Becky G X Karol G,188,186,4,38,2022-11-12
In Da Club,50 Cent,189,192,44,38,2022-11-12
Remember,Becky Hill & David Guetta,190,197,89,13,2022-11-12
Bohemian Rhapsody,Queen,191,187,97,109,2022-11-12
"Sex, Drugs, Etc.",Beach Weather,192,166,128,9,2022-11-12
First Class,Jack Harlow,193,183,2,30,2022-11-12
Smells Like Teen Spirit,Nirvana,194,168,92,94,2022-11-12
Talk That Talk,TWICE,195,167,18,10,2022-11-12
Counting Stars,OneRepublic,196,182,96,88,2022-11-12
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,197,-,148,11,2022-11-12
Heyy,Lil Baby,198,131,38,3,2022-11-12
Middle Of The Night,Elley Duhe,199,176,25,42,2022-11-12
Wasted On You,Morgan Wallen,200,178,19,41,2022-11-12
Rich Flex,Drake & 21 Savage,1,-,1,1,2022-11-19
Anti-Hero,Taylor Swift,2,1,1,3,2022-11-19
Major Distribution,Drake & 21 Savage,3,-,3,1,2022-11-19
Unholy,Sam Smith & Kim Petras,4,2,1,7,2022-11-19
On BS,Drake & 21 Savage,5,-,5,1,2022-11-19
Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,6,-,6,1,2022-11-19
Spin Bout U,Drake & 21 Savage,7,-,7,1,2022-11-19
Circo Loco,Drake & 21 Savage,8,-,8,1,2022-11-19
Privileged Rappers,Drake & 21 Savage,9,-,9,1,2022-11-19
BackOutsideBoyz,Drake,10,-,10,1,2022-11-19
I'm Good (Blue),David Guetta & Bebe Rexha,11,4,2,11,2022-11-19
Broke Boys,Drake & 21 Savage,12,-,12,1,2022-11-19
Hours In Silence,Drake & 21 Savage,13,-,13,1,2022-11-19
Treacherous Twins,Drake & 21 Savage,14,-,14,1,2022-11-19
Lavender Haze,Taylor Swift,15,5,2,3,2022-11-19
As It Was,Harry Styles,16,14,1,32,2022-11-19
Middle Of The Ocean,Drake,17,-,17,1,2022-11-19
Under The Influence,Chris Brown,18,11,3,16,2022-11-19
Midnight Rain,Taylor Swift,19,6,5,3,2022-11-19
Calm Down,Rema & Selena Gomez,20,17,7,19,2022-11-19
Jumbotron Shit Poppin,Drake,21,-,21,1,2022-11-19
La Bachata,Manuel Turizo,22,16,6,18,2022-11-19
Lift Me Up,Rihanna,23,3,3,2,2022-11-19
Miss You,Oliver Tree & Robin Schulz,24,21,19,5,2022-11-19
Bejeweled,Taylor Swift,25,9,8,3,2022-11-19
Snow On The Beach,Taylor Swift Featuring Lana Del Rey,26,7,3,3,2022-11-19
I Ain't Worried,OneRepublic,27,20,5,23,2022-11-19
More M’s,Drake & 21 Savage,28,-,28,1,2022-11-19
Maroon,Taylor Swift,29,8,4,3,2022-11-19
"You're On Your Own, Kid",Taylor Swift,30,12,7,3,2022-11-19
Bad Habit,Steve Lacy,31,24,8,18,2022-11-19
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,32,22,1,18,2022-11-19
Karma,Taylor Swift,33,13,10,3,2022-11-19
Die For You,Joji,34,-,34,1,2022-11-19
Me Porto Bonito,Bad Bunny & Chencho Corleone,35,25,2,27,2022-11-19
Titi Me Pregunto,Bad Bunny,36,23,4,27,2022-11-19
Made You Look,Meghan Trainor,37,33,33,3,2022-11-19
Another Love,Tom Odell,38,31,14,80,2022-11-19
Cuff It,Beyonce,39,27,12,15,2022-11-19
I Guess It's Fuck Me,Drake,40,-,40,1,2022-11-19
Kick Back,Kenshi Yonezu,41,30,13,5,2022-11-19
Vigilante Shit,Taylor Swift,42,15,9,3,2022-11-19
Glimpse Of Us,Joji,43,72,2,22,2022-11-19
Question...?,Taylor Swift,44,19,11,3,2022-11-19
3AM On Glenwood,21 Savage,45,-,45,1,2022-11-19
Shirt,SZA,46,18,18,2,2022-11-19
Monotonia,Shakira + Ozuna,47,26,18,3,2022-11-19
Subtitle,Official HIGE DANdism,48,35,35,4,2022-11-19
Save Your Tears,The Weeknd & Ariana Grande,49,42,1,97,2022-11-19
Despecha,Rosalia,50,36,6,15,2022-11-19
Snap,Rosa Linn,51,39,18,18,2022-11-19
Golden Hour,JVKE,52,40,40,11,2022-11-19
Something In The Orange,Zach Bryan,53,50,23,28,2022-11-19
Efecto,Bad Bunny,54,38,7,27,2022-11-19
Heat Waves,Glass Animals,55,45,1,97,2022-11-19
Mastermind,Taylor Swift,56,29,13,3,2022-11-19
Hey Mor,Ozuna Featuring Feid,57,65,57,4,2022-11-19
Antifragile,LE SSERAFIM,58,44,38,4,2022-11-19
Jimmy Cooks,Drake Featuring 21 Savage,59,54,3,21,2022-11-19
Labyrinth,Taylor Swift,60,32,12,3,2022-11-19
Ojitos Lindos,Bad Bunny & Bomba Estereo,61,48,4,27,2022-11-19
Die For You,The Weeknd,62,52,36,36,2022-11-19
Just Wanna Rock,Lil Uzi Vert,63,62,59,4,2022-11-19
No Se Va,Grupo Frontera,64,47,31,7,2022-11-19
Bones,Imagine Dragons,65,41,32,35,2022-11-19
Shut Down,BLACKPINK,66,46,1,8,2022-11-19
Sweater Weather,The Neighbourhood,67,53,25,111,2022-11-19
Super Freaky Girl,Nicki Minaj,68,43,5,13,2022-11-19
Sweet Nothing,Taylor Swift,69,34,14,3,2022-11-19
Stay,The Kid LAROI & Justin Bieber,70,57,1,70,2022-11-19
Romantic Homicide,d4vd,71,63,35,10,2022-11-19
Until I Found You,Stephen Sanchez,72,69,44,26,2022-11-19
Cold Heart (PNAU Remix),Elton John & Dua Lipa,73,64,3,65,2022-11-19
Moscow Mule,Bad Bunny,74,56,2,27,2022-11-19
Levitating,Dua Lipa,75,67,2,110,2022-11-19
Blinding Lights,The Weeknd,76,49,2,114,2022-11-19
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,77,75,21,7,2022-11-19
All I Want For Christmas Is You,Mariah Carey,78,172,1,21,2022-11-19
Shivers,Ed Sheeran,79,70,3,61,2022-11-19
My Mind & Me,Selena Gomez,80,-,80,1,2022-11-19
Pink Venom,BLACKPINK,81,61,1,12,2022-11-19
Hotel Lobby (Unc And Phew),Quavo & Takeoff,82,130,82,7,2022-11-19
Sunroof,Nicky Youre & dazy,83,73,26,25,2022-11-19
Neverita,Bad Bunny,84,66,16,27,2022-11-19
Mockingbird,Eminem,85,84,84,4,2022-11-19
Hold Me Closer,Elton John & Britney Spears,86,68,6,11,2022-11-19
"Would've, Could've, Should've",Taylor Swift,87,51,21,3,2022-11-19
Feliz Cumpleanos Ferxxo,Feid,88,83,61,10,2022-11-19
Provenza,Karol G,89,76,6,29,2022-11-19
Punto 40,Rauw Alejandro & Baby Rasta,90,79,75,5,2022-11-19
Perfect,Ed Sheeran,91,87,30,114,2022-11-19
Bad Habits,Ed Sheeran,92,82,1,72,2022-11-19
I Like You (A Happier Song),Post Malone Featuring Doja Cat,93,74,7,23,2022-11-19
How Do I Say Goodbye,Dean Lewis,94,89,89,6,2022-11-19
Nxde,(G)I-DLE,95,71,50,3,2022-11-19
Wait For U,Future Featuring Drake & Tems,96,85,2,28,2022-11-19
Late Night Talking,Harry Styles,97,93,2,25,2022-11-19
About Damn Time,Lizzo,98,90,6,30,2022-11-19
Running Up That Hill (A Deal With God),Kate Bush,99,78,1,24,2022-11-19
I Wanna Be Yours,Arctic Monkeys,100,98,73,10,2022-11-19
The Astronaut,JIN,101,10,10,2,2022-11-19
Left And Right,Charlie Puth Featuring Jung Kook,102,91,5,20,2022-11-19
Lokera,"Rauw Alejandro, Lyanno & Brray",103,86,55,13,2022-11-19
Enemy,Imagine Dragons X JID,104,97,3,54,2022-11-19
The Great War,Taylor Swift,105,59,24,3,2022-11-19
Gangsta's Paradise,Coolio Featuring L.V.,106,95,21,69,2022-11-19
Yellow,Coldplay,107,104,68,83,2022-11-19
Bigger Than The Whole Sky,Taylor Swift,108,60,22,3,2022-11-19
Starboy,The Weeknd Featuring Daft Punk,109,103,52,71,2022-11-19
Forget Me,Lewis Capaldi,110,100,48,9,2022-11-19
Gatubela,Karol G x Maldy,111,92,23,11,2022-11-19
You Proof,Morgan Wallen,112,111,22,26,2022-11-19
Unstoppable,Sia,113,114,83,39,2022-11-19
Someone You Loved,Lewis Capaldi,114,112,24,114,2022-11-19
Easy On Me,Adele,115,115,1,57,2022-11-19
Ferrari,James Hype & Miggy Dela Rosa,116,96,25,21,2022-11-19
Paris,Taylor Swift,117,77,30,3,2022-11-19
Believer,Imagine Dragons,118,113,52,114,2022-11-19
Besos Moja2,Wisin & Yandel + Rosalia,119,144,119,6,2022-11-19
Baby Shark,Pinkfong,120,116,38,113,2022-11-19
Rock And A Hard Place,Bailey Zimmerman,121,125,59,22,2022-11-19
Hype Boy,NewJeans,122,105,52,14,2022-11-19
Happier Than Ever,Billie Eilish,123,120,6,67,2022-11-19
Dandelions,Ruth B.,124,122,51,43,2022-11-19
Vegas,Doja Cat,125,107,28,24,2022-11-19
Pepas,Farruko,126,109,7,69,2022-11-19
Without Me,Eminem,127,118,39,57,2022-11-19
The Kind Of Love We Make,Luke Combs,128,136,38,21,2022-11-19
Shape Of You,Ed Sheeran,129,123,55,114,2022-11-19
B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,130,102,47,11,2022-11-19
New Genesis,Ado,131,164,20,15,2022-11-19
Lovely,Billie Eilish & Khalid,132,127,70,114,2022-11-19
I'm Yours,Isabel LaRosa,133,-,133,1,2022-11-19
Industry Baby,Lil Nas X & Jack Harlow,134,124,2,68,2022-11-19
Feeling Like The End,Joji,135,-,135,1,2022-11-19
Tomorrow 2,GloRilla & Cardi B,136,108,39,7,2022-11-19
High Infidelity,Taylor Swift,137,88,31,3,2022-11-19
California Breeze,Lil Baby,138,99,15,4,2022-11-19
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,139,133,41,114,2022-11-19
Shinunoga E-Wa,Fujii Kaze,140,161,118,9,2022-11-19
Before The Day Is Over,Joji,141,-,141,1,2022-11-19
Viva La Vida,Coldplay,142,132,114,12,2022-11-19
Murder In My Mind,Kordhell,143,142,113,13,2022-11-19
The Blessing,YOASOBI,144,150,76,6,2022-11-19
Te Felicito,Shakira & Rauw Alejandro,145,117,11,29,2022-11-19
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,146,137,89,17,2022-11-19
Overdose,natori,147,140,140,5,2022-11-19
Dream On,Aerosmith,148,-,148,1,2022-11-19
I'm Not The Only One,Sam Smith,149,148,94,12,2022-11-19
abcdefu,GAYLE,150,156,1,52,2022-11-19
Thank God,Kane Brown With Katelyn Brown,151,153,62,9,2022-11-19
Last Christmas,Wham!,152,-,2,17,2022-11-19
When I Was Your Man,Bruno Mars,153,158,153,11,2022-11-19
Watermelon Sugar,Harry Styles,154,155,9,114,2022-11-19
Vista Al Mar,Quevedo,155,154,114,8,2022-11-19
No Role Modelz,J. Cole,156,146,97,73,2022-11-19
After Like,IVE,157,126,20,12,2022-11-19
Doja,Central Cee,158,121,19,16,2022-11-19
Ghost,Justin Bieber,159,135,16,60,2022-11-19
505,Arctic Monkeys,160,152,94,38,2022-11-19
Bam Bam,Camila Cabello Featuring Ed Sheeran,161,145,5,36,2022-11-19
Tarot,Bad Bunny & Jhay Cortez,162,131,9,27,2022-11-19
Party,Bad Bunny & Rauw Alejandro,163,128,8,27,2022-11-19
