Title;Artist;Rank;Last Week;Peak Positon;Weeks on charts;Date;Genre;Producers;Writers;Distributor
Ferrari;James Hype & Miggy Dela Rosa;33;25;25;14;2022-10-01;Pop, Deep House, House, Alternative Dance, Electronic, UK, Dance-Pop, Electro-Pop, Dance;James Hype;James Hype, Miggy Dela Rosa, Josh Grimmett, Johannes Shore, Diddy, Loon, Adonis, Michael Carlos Jones, Frank Romano & Mario Winans;None
The Happiest Girl;BLACKPINK;34;-;34;1;2022-10-01;Pop, K-Ballad, Modern Classical, Ballad, Genius Korea, South Korea, Girl Group;24, Teddy Park & Paro;Natalia Kills & Willy Moon;None
About Damn Time;Lizzo;35;32;6;23;2022-10-01;Rap, R&B, Pop, Pop Rap, Hip-Hop, Pop-R&B, Dance, Funk, Nu Disco, Funk-Pop, Dance-Pop;Blake Slatkin & Ricky Reed;Blake Slatkin, Theron Thomas, Ricky Reed, Malcolm McLaren, JazzyJust, Larry Price, Stephen Hague &;None
Levitating;Dua Lipa;36;38;2;103;2022-10-01;Rap, Pop, TikTok, Electro-Pop, Funk-Pop, Dance, Dance-Pop, Synth-Pop, Nu Disco, UK;Stuart Price & KOZ;Dua Lipa, Sarah Hudson, Clarence Coffee Jr. &;None
Jimmy Cooks;Drake Featuring 21 Savage;37;34;3;14;2022-10-01;Rap, Pop Rap, Hardcore Hip-Hop, Outro, Atlanta Rap, Hip-Hop, Trap, Canada;Vinylz, Tay Keith, CuBeatz &;Drake, 21 Savage, Tay Keith, Vinylz, Kevin Gomringer, Tim Gomringer, Tizzle, Dougie F, Playa Fly, Harry Ray, Al Goodman & Walter Morris;Universal Music Group
Gatubela;Karol G x Maldy;38;31;23;4;2022-10-01;Pop, Latin Music, Puerto Rico, Latin Urban, Colombia, En Español, Reggaetón, Latin Pop;Ovy On The Drums;KAROL G, Maldy, Justin Quiles, DJ Maff & Lenny Tavárez;None
Late Night Talking;Harry Styles;39;33;2;18;2022-10-01;R&B, Pop, Synth-Pop, Funk-Pop, Dance, Dance-Pop, UK;Tyler Johnson & Kid Harpoon;Harry Styles & Kid Harpoon;Sony Music Entertainment
Sweater Weather;The Neighbourhood;40;49;40;104;2022-10-01;Pop, Rock, Alternative Pop, Alternative, Adult Contemporary, Adult Alternative, Pop-Rock, Alternative Rock;Emile Haynie & Justyn Pilbrow;Jeremy Freedman, Zach Abels &;None
Shivers;Ed Sheeran;41;36;3;54;2022-10-01;Pop, UK Pop, Singer-Songwriter, Dance-Pop, UK;Ed Sheeran, Fred again.. & Steve Mac;Ed Sheeran, Kal Lavelle, Johnny McDaid & Steve Mac;Warner Music Group
Die For You;The Weeknd;42;43;42;29;2022-10-01;R&B, Pop, Ambient, Electro-Pop, Dark Ambient, Dark Pop, Adult Alternative, Alternative Dance, Dance-Pop, Dance, Electronic, Alternative Pop, Alternative, Adult Contemporary, Alternative R&B, Ballad;Cashmere Cat, Prince 85, Cirkut, The Weeknd & Doc McKinney;Cirkut, Billy Walsh, Cashmere Cat, Sir Dylan, Prince 85, Doc McKinney & The Weeknd;None
Yeah Yeah Yeah;BLACKPINK;43;-;43;1;2022-10-01;Pop, Genius Korea, Romanized;None;None;None
Left And Right;Charlie Puth Featuring Jung Kook;44;37;5;13;2022-10-01;Pop, Synth-Pop, K-Pop (케이팝), K-Solo, South Korea, Genius Korea;Charlie Puth;Jacob Kasher & Charlie Puth;None
Blinding Lights;The Weeknd;45;42;2;107;2022-10-01;Pop, Nightcore, Dance-Pop, Electro-Pop, Synth-Pop, Synthwave;Oscar Holter, Max Martin & The Weeknd;The Weeknd, Oscar Holter, Max Martin, Belly & DaHeala;Universal Music Group
Doja;Central Cee;46;39;19;9;2022-10-01;Rap, Hip-Hop, Trap, Memes, Drill, UK Drill, UK, UK Rap;LiTek & WhYJay;Central Cee, Eve, Dr. Dre, Mike Elizondo, Scott Storch &;None
After Like;IVE;47;35;20;5;2022-10-01;Pop, EDM, Electro, Electronica, Electro-Pop, Electronic, Dance-Pop, Dance, Nu Disco, House, K-Pop (케이팝), South Korea, Genius Korea, Korean, Girl Group;None;Ryan S. Jhun, Anders Nilsen, Seo Ji Eum (서지음), André Jensen, ISELIN, Mommy Son (마미손) & REI (IVE);None
Bones;Imagine Dragons;48;44;43;28;2022-10-01;Rock, Pop, Alternative Rock, Alternative Pop, Pop-Rock, Alternative;Mattman & Robin;Dan Reynolds, Wayne Sermon, , Daniel Platzman, Robin Fredriksson & Mattias Larsson;None
Something In The Orange;Zach Bryan;49;54;49;21;2022-10-01;Country;Ryan Hadlock;Zach Bryan;None
B.O.T.A. (Baddest Of Them All);Eliza Rose & Interplanetary Criminal;50;57;50;4;2022-10-01;Pop, Latin Urban, Puerto Rico, Dancehall, Remix, Latin Pop, Reggaetón, Latin Music, En Español;Shorty Complete, Kronix Magical & Young Martino;Kronix Magical, Young Martino, Vicente Saavedra, Juan Diego Medina, Flow La Movie, DJ Nelson, Bad Bunny, Nicky Jam, Nio García, Casper Mágico, Darell & Ozuna;None
Wait For U;Future Featuring Drake & Tems;51;45;2;21;2022-10-01;Pop, R&B, Rap, Boom Bap, Contemporary R&B, Trap, Hip-Hop, Pop-R&B, Pop Rap, Nigeria, Canada, Atlanta Rap;ATL Jacob, FNZ, , Sonic Major &;Future, Drake, Tems, 1SRAEL, ATL Jacob, Finatik, Zac, Sonic Major, Tejiri & A1;Sony Music Entertainment
Tally;BLACKPINK;52;-;52;1;2022-10-01;Rock, Pop, K-Pop (케이팝), Pop-Rock, Hip-Hop, Genius Korea, South Korea, Girl Group;Teddy Park, Nat Dunn, David Phelan, Alex Oriet, Brian Lee, Soraya La Pread & 24;Nat Dunn, Danny Chung, David Phelan, Alex Oriet, Brian Lee & Soraya La Pread;None
Break My Soul;Beyonce;53;41;6;14;2022-10-01;Rap, Pop, R&B, Pop Rap, Dance, Electro House, Bounce, Dance-Pop, Electronic, Electro-Pop, House;Tricky Stewart, Beyoncé, The-Dream & Isak Swing;Beyoncé, Tricky Stewart, The-Dream, JAY-Z, BlaqNmilD, Big Freedia, Fred McFarlane & Allen George;Sony Music Entertainment
Bad Habits;Ed Sheeran;54;47;1;65;2022-10-01;Pop, Synth-Pop, House, Singer-Songwriter, Dance-Pop, UK;Ed Sheeran, Fred again.. & Johnny McDaid;Ed Sheeran, Fred again.. & Johnny McDaid;None
Cuff It;Beyonce;55;97;13;8;2022-10-01;Pop, R&B, Funk-Pop, Electro-Pop, Synth-Pop, Dance, Synth Funk, Electro-Funk, Funk, Contemporary R&B, Dance-Pop, Electronic, Nu Disco;Beyoncé, NOVA WAV, Raphael Saadiq, Morten “Rissi” Ristorp & The-Dream;Beyoncé, Raphael Saadiq, Brittany Coney, The-Dream, Morten “Rissi” Ristorp, Blu June, Nile Rodgers, Teena Marie & Allen McGrier;Sony Music Entertainment
Romantic Homicide;d4vd;56;64;56;3;2022-10-01;Rock, Pop, Bandlab, Indie Pop, Indie Rock, Indie, Pop-Rock, Alternative, Alternative Rock, Alternative Pop;Dan Darmawan;d4vd;Universal Music Group & DistroKid
Vegas;Doja Cat;57;46;28;17;2022-10-01;Rap, Trap, Chipmunk Soul, Pop Rap, Soundtrack;Yeti Beats & Rogét Chahayed;Mike Stoller, Jerry Leiber, Rogét Chahayed, Yeti Beats & Doja Cat;Sony Music Entertainment
Talk That Talk;TWICE;58;40;18;4;2022-10-01;Pop, K-Pop (케이팝), Girl Group, Korean, South Korea, Genius Korea;None;collapsedone, danke (lalala studio) & MRCH (마치);None
Forget Me;Lewis Capaldi;59;48;48;2;2022-10-01;Pop, Synth-Pop, Adult Alternative, Piano, Alternative Pop, UK Pop, Singer-Songwriter, Scotland, UK;Chris Bishop, Lewis Capaldi & TMS;Ben Kohn, Blair Gormal, Lewis Capaldi, Michael Pollack, Pete Kelleher, Plested, TMS & Tom Barnes;None
Ready For Love;BLACKPINK;60;-;60;2;2022-10-01;Pop, EDM, K-Pop (케이팝), Dance-Pop, Dance, Girl Group, South Korea, Genius Korea, Korean;Teddy Park, VVN, 24 & KUSH (쿠시);Teddy Park, KUSH (쿠시), Danny Chung, 24, VVN & Bekuh BOOM;None
The Kind Of Love We Make;Luke Combs;61;71;38;14;2022-10-01;Country;Chip Matthews, Jonathan Singleton & Luke Combs;Luke Combs, Reid Isbell, Jamie Davis & Dan Isbell;None
Until I Found You;Stephen Sanchez;62;53;44;19;2022-10-01;Pop, Acoustic, Ballad, Singer-Songwriter, Bedroom Pop, Soft Rock, Alternative Pop, Alternative;Konrad Snyder & Ian Fitchuk;Stephen Sanchez;None
Tarot;Bad Bunny & Jhay Cortez;63;52;9;20;2022-10-01;Pop, Dancehall, Latin Pop, Puerto Rico, En Español, Latin Urban, Latin Music;La Paciencia, Albert Hype, Jota Rosa & Tainy;Bad Bunny & Jhayco;The Orchard
Enemy;Imagine Dragons X JID;64;56;3;47;2022-10-01;Rock, Rap, Pop, TV, Alternative Pop, Alternative, Gaming, Memes, Rap-Rock, Alternative Rock, Pop Rap, Pop-Rock, Soundtrack;Mattman & Robin;Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson, Justin Tranter &;None
Mary On A Cross;Ghost;65;50;50;5;2022-10-01;Rock, Psychedelic, Alternative, Scandinavia, Sverige, Svensk Rock, Alternative Rock, Psychedelic Rock;Gene Walker & Tobias Forge;Vincent Pontare, Salem Al Fakir & Tobias Forge;None
You Proof;Morgan Wallen;66;51;22;19;2022-10-01;R&B, Country, Singer-Songwriter, Honky Tonk, Alternative R&B, Synth-Pop, Trap, Pop Country;Charlie Handsome & Joey Moi;Ashley Gorley, ERNEST, Keith Smith, Morgan Wallen & Charlie Handsome;None
Party;Bad Bunny & Rauw Alejandro;67;55;8;20;2022-10-01;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Richi López, La Paciencia, Albert Hype, Tainy & Jota Rosa;Rauw Alejandro & Bad Bunny;The Orchard
Lokera;Rauw Alejandro, Lyanno & Brray;68;61;61;6;2022-10-01;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Caleb Calloway, Mr. Naisgai, Rauw Alejandro & Slow Jamz;Rauw Alejandro, Lyanno & Brray;Sony Music Latin & Duars Entertainment
Last Last;Burna Boy;69;60;39;16;2022-10-01;Pop, Nigerian Pidgin, Nigeria, Afrobeats;Ruuben, MD$, Off & Out & Chopstix;Chopstix, Rodney Jerkins, LaShawn Daniels, James Malcolm Olagundoye, Harvey Mason Jr., Fred Jerkins III & Burna Boy;Atlantic Records
Perfect;Ed Sheeran;70;67;30;107;2022-10-01;Pop, UK Pop, Soft Rock, Acoustic, Orchestral, Easy Listening, Piano, Singer-Songwriter, Adult Contemporary, Ballad, UK;benny blanco, Ed Sheeran & Will Hicks;Ed Sheeran;None
Hype Boy;NewJeans;71;59;52;7;2022-10-01;Pop, Dance-Pop, Future Bass, K-Pop (케이팝), Korean, South Korea, Genius Korea, Girl Group;250;Hanni (NewJeans), Ylva Dimberg & Gigi (KOR);None
Golden Hour;JVKE;72;79;72;4;2022-10-01;Pop, Hip-Hop, Indie Pop, Indie, Piano, Alternative Pop, Alternative;Zac Lawson & JVKE;Zac Lawson & JVKE;None
Yellow;Coldplay;73;68;68;76;2022-10-01;Rock, Pop-Rock, British Rock, Post-Britpop, Ballad, Adult Alternative, Adult Contemporary, UK, Alternative Rock, Alternative;Ken Nelson & Coldplay;Guy Berryman, Jonny Buckland, & Chris Martin;None
New Genesis;Ado;74;58;20;8;2022-10-01;Pop, Romanized;None;None;None
Bam Bam;Camila Cabello Featuring Ed Sheeran;75;66;5;29;2022-10-01;Pop, En Español, UK, Latin Pop;Ricky Reed, Edge, Cheche Alara & Daniel Uribe;Scott Harris, Cheche Alara, Edge, Ricky Reed, Ed Sheeran & Camila Cabello;Sony Music Entertainment
Happier Than Ever;Billie Eilish;76;76;6;60;2022-10-01;Pop, TikTok, Pop-Punk, Neo Soul, Soul, Alternative Pop, Pop-Rock, Grunge, Noise Pop;FINNEAS;Billie Eilish & FINNEAS;Universal Music Group
First Class;Jack Harlow;77;65;2;24;2022-10-01;R&B, Pop, Rap, Hip-Hop, Cloud Rap, Trap, Pop Rap;Jack Harlow, Angel López, Rogét Chahayed, Charlie Handsome & Jasper Harris;Blac Elvis, Raheem the Dream, Ludacris, Polow da Don, will.i.am, Dougie F, Jasper Harris, Charlie Handsome, Rogét Chahayed, Angel López, Fergie & Jack Harlow;Warner Music Group
Starboy;The Weeknd Featuring Daft Punk;78;72;52;64;2022-10-01;Pop, R&B, Alternative Pop, Alternative, Piano, Dark Pop, Synth-Pop, Canada, Alternative R&B;Daft Punk, Cirkut, Doc McKinney & The Weeknd;Guy-Manuel de Homem-Christo, Thomas Bangalter, DaHeala, The Weeknd, Doc McKinney & Cirkut;None
Pepas;Farruko;79;69;7;62;2022-10-01;Pop, Guaracha, Electro House, Electronica, Electro, Electro-Pop, En Español, Puerto Rico, Latin Pop, Latin Urban, Latin Music;Sharo Towers, Ghetto, IAmChino, K4G & Víctor Cárdenas;IAmChino, Juan Manuel Gomez, Ghetto, White Star, K4G, Sharo Towers, Víctor Cárdenas, Frank Miami & Farruko;None
Ku Lo Sa;Oxlade;80;80;80;3;2022-10-01;Pop;None;None;None
Ghost;Justin Bieber;81;73;16;53;2022-10-01;R&B, Pop, Pop-R&B, Contemporary R&B, Future Garage, Dance-Pop, Dance, Synth-Pop, Ballad, Drum & Bass, Canada;Jon Bellion & The Monsters & Strangerz;Michael Pollack, Stefan Johnson, Jordan K. Johnson, Jon Bellion & Justin Bieber;Universal Music Group
Te Felicito;Shakira & Rauw Alejandro;82;63;11;22;2022-10-01;Pop, Electro, Electro-Pop, Reggaetón, Colombia, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Ily Wonder, L.E.X.U.Z, KEITYN, Albert Hype & Shakira;Santiago Munera Penagos, Lenin Yorney, KEITYN, Ily Wonder, Andrés Mauricio Acosta Echeverri, Rauw Alejandro & Shakira;None
Numb;Marshmello & Khalid;83;78;66;15;2022-10-01;Pop, House, EDM, Singer-Songwriter, Electro House, Electro, Electro-Pop, Electronic, Dance-Pop, Dance;Digital Farm Animals & Marshmello;Digital Farm Animals, Khalid, Aldae, Marshmello, Richard Boardman & R.I.Pablo;Sony Music Entertainment
Believer;Imagine Dragons;84;82;52;107;2022-10-01;Pop, Rock, Synth Rock, Anthem, Adult Alternative, Alternative, Alternative Pop, Alternative Rock, Alternative R&B, Synth-Pop, Album-Oriented Rock (AOR), Pop-Rock;Mattman & Robin;Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson & Justin Tranter;None
Caile;Luar La L;85;70;67;6;2022-10-01;Pop, Latin Pop, En Español, Puerto Rico, Latin Urban, Latin Music, Reggaetón;Yama (Producer);Luar La L;None
Unstoppable;Sia;86;83;83;32;2022-10-01;Pop, Electronic, Electro-Pop, New Wave, Australia;Jesse Shatkin;Chris Braide & Sia;None
Billie Eilish.;Armani White;87;119;87;3;2022-10-01;Rap;July Da Producer;Armani White, Pharrell Williams, N.O.R.E., Greg Camp & July Da Producer;Universal Music Group
La Corriente;Bad Bunny & Tony Dize;88;75;17;20;2022-10-01;Pop, Latin Pop, Reggaetón, Puerto Rico, Latin Urban, En Español, Latin Music;Albert Hype, Subelo NEO, Demy & Clipz, Tainy, La Paciencia & MAG;Tony Dize & Bad Bunny;The Orchard
Industry Baby;Lil Nas X & Jack Harlow;89;86;2;61;2022-10-01;Pop, Rap, Pop Rap, Hip-Hop, Atlanta Rap, Trap;Drew Sliger, Roy Lenzo, Ojivolta, Nick Lee, Kanye West & Take a Daytrip;Roy Lenzo, Mark Williams, Raul Cubina, Kanye West, , David Biral, Denzel Baptiste, Jack Harlow & Lil Nas X;Sony Music Entertainment
Baby Shark;Pinkfong;90;77;38;106;2022-10-01;Pop, Dance-Pop, Dance, Memes, Children's Music;Pinkfong (핑크퐁);Robin Davies & Shawnee Lamb;None
Someone You Loved;Lewis Capaldi;91;85;24;107;2022-10-01;Pop, Soul Pop, UK Pop, Adult Contemporary, Adult Alternative, Singer-Songwriter, Ballad, Piano, UK;TMS;Ben Kohn, , Pete Kelleher, & Tom Barnes;None
Feliz Cumpleanos Ferxxo;Feid;92;106;92;3;2022-10-01;Pop, Reggaetón, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Jowan & Sky Rompiendo;Feid, Jowan, Rolo, Wain & Sky Rompiendo;Universal Music Group
Summertime Sadness;Lana Del Rey vs. Cedric Gervais;93;89;89;10;2022-10-01;Pop, Alternative Pop, Alternative, Ballad, Dark Pop, Baroque Pop, Trip-Hop;Emile Haynie;Lana Del Rey & Rick Nowels;Universal Music Group
Dandelions;Ruth B.;94;84;51;36;2022-10-01;Pop, Canada, Trap, Alternative Pop, Alternative R&B, Ballad;Joel Little;Ruth B.;None
Easy On Me;Adele;95;91;1;50;2022-10-01;Pop, Adult Contemporary, Blue-Eyed Soul, Singer-Songwriter, Soul, Ballad, UK, Piano;Greg Kurstin;Greg Kurstin & Adele;Sony Music Entertainment
Shape Of You;Ed Sheeran;96;94;55;107;2022-10-01;Pop, UK Pop, Dance-Pop, Electro, Electro-Pop, Dancehall, Synth-Pop, Dance, Singer-Songwriter, Tropical House, UK;Steve Mac;Steve Mac, Tameka “Tiny” Harris, , Kevin “She’kspere” Briggs, & Johnny McDaid;None
Attention;NewJeans;97;74;54;7;2022-10-01;R&B, Pop, Dance-Pop, Pop-R&B, Contemporary R&B, K-R&B, K-Pop (케이팝), South Korea, Genius Korea, Korean, Girl Group;250;Danielle (NewJeans), Gigi (KOR), Duckbay & 250;None
Ultra Solo;Polima WestCoast Featuring Pailita;98;81;24;21;2022-10-01;Pop, Chile, Latin Urban, Latin Pop, Reggaetón, Latin Music, En Español;Magicenelbeat;Polimá Westcoast & Pailita;None
One Kiss;Calvin Harris & Dua Lipa;99;96;43;17;2022-10-01;Pop, House, UK Garage, Funk-Pop, Electro House, Tropical House, Electronic, Dance, UK, Alternative Dance, Dance-Pop, Electro-Pop;Calvin Harris;Calvin Harris, Jessie Reyez & Dua Lipa;None
Sweet Child O' Mine;Guns N' Roses;100;92;57;76;2022-10-01;Rock, Glam Rock, Alternative Rock, Alternative, Album-Oriented Rock (AOR), Eighties, Hard Rock;Mike Clink;Steven Adler, Duff McKagan, Izzy Stradlin, Axl Rose & Slash;Universal Music Group
Watermelon Sugar;Harry Styles;101;95;9;107;2022-10-01;Pop, Rock, Funk, Funk Rock, British Rock, Funk-Pop, UK, Pop-Rock;Tyler Johnson & Kid Harpoon;Tyler Johnson, Kid Harpoon, Mitch Rowland &;Sony Music Entertainment
Hotel;Montell Fish;102;-;102;1;2022-10-01;R&B, Soul;Montell Fish;Montell Fish;Universal Music Group
