Title;Artist;Genre;Producers;Writers;Distributor
Woman;Doja Cat;Pop, TikTok, Dance-Pop, Pop Rap, Afrobeats;Aynzli Jones, Crate Classics, Linden Jay & Yeti Beats;Aynzli Jones, Jidenna, Lydia Asrat, Linden Jay, Aaron Horn, Yeti Beats & Doja Cat;Sony Music Entertainment
Good 4 U;Olivia Rodrigo;Pop, TikTok, Alternative Rock, Pop-Punk, Pop-Rock, Teen Pop;Alexander 23 & Dan Nigro;;
Un Coco;Bad Bunny;Pop, Reggaetón, Puerto Rico, Latin Urban, En Español, Latin Music;MAG, La Paciencia & Magicenelbeat;Bad Bunny;The Orchard
Vista Al Mar;Quevedo;Pop, Reggaetón, Spanish Pop, Spanish Urban, Spanish Music, En Español;BlueFire;Quevedo;None
Take Me To Church;Hozier;Rock, Pop, Pop-Rock, Soul Pop, Alternative Pop, Alternative, Piano Rock, Alternative Rock, Soul, Blue-Eyed Soul, Ballad, Dark Pop, Adult Alternative, LGBTQ+, Piano, Ireland;Rob Kirwan & Hozier;Hozier;None
Every Breath You Take;The Police;Rock, Soft Rock, Eighties, Ballad, Dark Pop, Easy Listening, UK, Singer-Songwriter, Adult Contemporary, Pop-Rock, New Wave;The Police & Hugh Padgham;Sting;None
Sex, Drugs, Etc.;Beach Weather;Pop, Indie Pop, Indie, Dream Pop;Alex Silverman & Sean Silverman;Alex Silverman, Sean Silverman, Nick Santino & Austin Scates;None
Static;Steve Lacy;Pop, R&B, Soul, Psychedelic Soul, Neo Soul, Bedroom Pop;Steve Lacy;John Carroll Kirby & Steve Lacy;None
Butter;BTS;Pop, K-Pop (케이팝), Electro-Pop, Funk, South Korea, Genius Korea, Dance-Pop, Dance, Boy Band;Ron Perry, Rob Grimaldi & Stephen Kirk;Ron Perry, Sebastian Garcia, Alex Bilowitz, RM, Stephen Kirk, Rob Grimaldi & Jenna Andrews;None
Riptide;Vance Joy;Pop, Rock, Alternative Pop, Alternative Rock, Pop-Rock, Folk Pop, Ballad, Australia, Singer-Songwriter, Contemporary Folk, Adult Alternative, Adult Contemporary, Folk, Alternative, Folk Rock;John Castle, Edwin White & Vance Joy;Vance Joy;None
Dark Red;Steve Lacy;Rock, R&B, Indie, Indie Rock, Neo Soul;Steve Lacy;Steve Lacy;None
2 Be Loved (Am I Ready);Lizzo;Pop, Adult Contemporary, Funk-Pop, Nu Disco, Synth-Pop;ILYA & Max Martin;Savan Kotecha, Peter Svensson, Max Martin, ILYA & Lizzo;None
In Da Club;50 Cent;Rap, Pop Rap, Hardcore Hip-Hop, New York, Hip-Hop, East Coast, Gangsta Rap;Dr. Dre & Mike Elizondo;50 Cent, &;Universal Music Group
Victoria’s Secret;Jax;Rock, Pop, Punk Rock, Alternative Rock, Alternative Pop, Pop-Punk, Pop-Rock;Mark Nilan Jr. & Jesse Siebenberg;Mark Nilan Jr., Dan Henig & Jax (USA);None
Dakiti;Bad Bunny & Jhay Cortez;Pop, Latin Pop, Puerto Rico, En Español, Latin Music, Latin Urban;La Paciencia & Tainy;Nydia Laner, Mora, Tainy, Fino Como El Haze, Jhayco & Bad Bunny;Rimas Music
The Real Slim Shady;Eminem;Rap, Beef, Detroit, Hip-Hop, Hardcore Hip-Hop;Dr. Dre & Mel-Man;Eminem, & Mel-Man;None
Don't Stop Believin';Journey;Rock, Piano Rock, Hard Rock, Adult Contemporary, Album-Oriented Rock (AOR), Piano, Glam Rock, Memes, Singer-Songwriter, Eighties;Kevin Elson & Mike Stone;Neal Schon, Steve Perry & Jonathan Cain;None
Traitor;Olivia Rodrigo;Pop, Teen Pop, Ballad;Dan Nigro;Dan Nigro & Olivia Rodrigo;Universal Music Group
Belly Dancer;Imanbek & BYOR;Pop, House, Dance;BYOR & Imanbek;None;None
She Had Me At Heads Carolina;Cole Swindell;Country;Zach Crowell;Ashley Gorley, Cole Swindell, Jesse Frasure, Mark D. Sanders, Thomas Rhett & Tim Nichols;None
Prohibidox;Feid;Pop, En Español, Latin Pop, Latin Urban, Colombia, Latin Music, Reggaetón;Federico Vindver & Rio Root;Feid, Wain & Federico Vindver;Universal Music Group
For My Hand;Burna Boy Featuring Ed Sheeran;R&B, Pop, New Wave, UK R&B, Nigeria, UK, Afrobeats;P2J;Burna Boy, Ed Sheeran & P2J;Atlantic Records
Normal;Feid;Pop, Reggaetón, Colombia, En Español, Latin Music, Latin Urban, Latin Pop;Sky Rompiendo, Jowan, Rolo, Feid & ICON Music;Sky Rompiendo & Feid;Universal Music Group
Drivers License;Olivia Rodrigo;Pop, Beef, Piano, Ballad, Teen Pop;Dan Nigro;Dan Nigro & Olivia Rodrigo;Universal Music Group
Como Dormiste?;Rels B;Pop, Dancehall, En Español, Spanish Pop, Spanish Urban, Spanish Music;L.E.X.U.Z, Ciey, KEITYN & Filly;Rels B, KEITYN & O’Neill;The Orchard
Yonaguni;Bad Bunny;Pop, Japanese, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Smash David, Byrd, Tainy & FinesseGTB;OMI (PR), , Tainy, Smash David, FinesseGTB & Bad Bunny;Rimas Music & The Orchard
Take On Me;a-ha;Pop, New Wave, Memes, Scandipop, Scandinavia, Eighties, Norge, Synth-Pop;Alan Tarney;Paul Waaktaar-Savoy, Morten Harket & Magne Furuholmen;None
Hotel California;Eagles;Rock, Seventies, Singer-Songwriter, Pop-Rock;Bill Szymczyk;Don Henley, Don Felder &;None
The Motto;Tiesto & Ava Max;Pop, Dark Pop, Electro, Nederland, Electro-Pop, EDM, Electro House, Dance-Pop, Dance;LOSTBOY & Tiësto;Tiësto, Ava Max, R.I.Pablo, LOSTBOY, Claudia Valentina & Sarah Blanchard;None
Envolver;Anitta;Pop, Singer-Songwriter, Reggaetón, Brasil, En Español, Latin Music, Latin Urban, Latin Pop;Subelo NEO;Phantom (Producer), Freddy “El Syntethyzer”, Lenny Tavárez & Anitta;Warner Music Group
Dos Mil 16;Bad Bunny;R&B, Pop, Trap, Latin Trap, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MXV, C Gutta, MAG, La Paciencia & Hide Miyabi;Bad Bunny;The Orchard
Fleeting Lullaby;Ado;Pop, Genius Japan, Japanese, J-Pop, Japan, Soundtrack, Anime;FAKE TYPE.;TOPHAMHAT-KYO;None
Mr. Brightside;The Killers;Rock, Indie, Indie Rock, Pop-Rock, Rock Pop, Post-Punk, Adult Alternative, Alternative, Alternative Rock, Post-Punk Revival, New Wave;Jeff Saltzman & The Killers;Dave Keuning & Brandon Flowers;None
Blank Space;Taylor Swift;Pop, Adult Contemporary, Electronic, Singer-Songwriter, Teen Pop, Synth-Pop, Electro-Pop;Shellback & Max Martin;Shellback, & Taylor Swift;None
Party En El Barrio;Paulo Londra Featuring Duki;Rap, Latin Rap, Trap, Latin Trap, Argentina, En Español, Latin Urban, Latin Music;Angel López, Federico Vindver & Rio Root;Paulo Londra, Duki, Angel López, Federico Vindver & Rio Root;Warner Music Latina
Afraid To Feel;LF SYSTEM;Pop, Garage House, Funky House, Scotland, UK, Cover, Remix, Dance-Pop, Alternative Dance, Alternative, Dance, Nu Disco, Electro, House, Electro House, Electro-Funk, Tech House;LF SYSTEM;LF SYSTEM;None
Dreams;Fleetwood Mac;Rock, Yacht Rock, Dream Pop, Singer-Songwriter, Folk Rock, Seventies, Alternative Rock, Art Rock, Pop-Rock, Soft Rock, UK;Ken Caillat, Richard Dashut & Fleetwood Mac;Stevie Nicks;None
Lose Yourself;Eminem;Rap, Memes, Anthem, Theme Song, Rap-Rock, Detroit, Hardcore Hip-Hop, Hip-Hop, Soundtrack;Eminem & Jeff Bass;Eminem, & Luis Resto;None
Thunderstruck;AC/DC;Rock, Australia, Nineties, Hard Rock;Bruce Fairbairn;Malcolm Young & Angus Young;None
5 Foot 9;Tyler Hubbard;Country, Pop;Tyler Hubbard & Jordan Schmidt;Tyler Hubbard, Jaren Johnston & Chase McGill;None
Freestyle;Lil Baby;Rap, Freestyle, Atlanta Rap, Trap;Hide Miyabi, JRHITMAKER, The Martianz, Joseph DaVinci & Taz Taylor;Hide Miyabi, Joseph DaVinci, The Martianz, JRHITMAKER, Taz Taylor & Lil Baby;The Administration MP & Universal Music Group
World's Smallest Violin;AJR;Rock, Pop, Folk Pop, Baroque Pop, Singer-Songwriter, Indie Pop, Memes, TikTok;Ryan Met;Adam Met, & Ryan Met;None
La Llevo Al Cielo;Chris Jedi, Chencho Corleone, Anuel AA & Nengo Flow;Pop, Reggaetón, Latin Music, Latin Urban, Puerto Rico, Latin Pop, En Español;Gaby Music & Chris Jedi;Dímelo Ninow, Gaby Music, Dulce Como Candy, Kodeina, Edgar Andino, Chris Jedi, Anuel AA, Chencho Corleone & Ñengo Flow;None
There's Nothing Holdin' Me Back;Shawn Mendes;Pop, Teen Pop, Dance Rock, Dance, Alternative Pop, Pop-Rock, Canada;Andrew Maury & Teddy Geiger;Geoff Warburton, Scott Harris, Teddy Geiger & Shawn Mendes;None
Kiss Me More;Doja Cat Featuring SZA;R&B, Rap, Pop, Contemporary R&B, Pop-R&B, Dance, Dance-Pop, Pop Rap;Carter Lang, Rogét Chahayed, & Yeti Beats;Carter Lang, Doja Cat, Dr. Luke, Rogét Chahayed, SZA, tizhimself & Yeti Beats;Sony Music Entertainment
Thunder;Imagine Dragons;Pop, Trap, Electronic Trap, Electro, Electronic, Alternative, Alternative Pop, Synth-Pop, Electro-Pop;Alex da Kid & Jayson DeZuzio;Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Alex da Kid & Jayson DeZuzio;None
POP!;NAYEON;Pop, Dance-Pop, K-Pop (케이팝), K-Solo, South Korea, Genius Korea, Korean;None;이스란 (Lee Seu Ran), KENZIE (KOR), Hayden Chapman, Greg Bonnick & Ellen Berg;None
All Too Well (Taylor's Version);Taylor Swift;Country, Pop, Art Pop, Folk Pop, Pop-Rock, Folk Rock, Alternative, Piano, Alternative Country, Alternative Pop, Alternative Rock, Adult Contemporary, Ballad, Singer-Songwriter, Pop Country;Taylor Swift & Jack Antonoff;Liz Rose & Taylor Swift;None
Hold My Hand;Lady Gaga;Pop, New Wave, Adult Contemporary, Soft Rock, Pop-Rock, Ballad, Soundtrack;Lady Gaga & BloodPop®;BloodPop® & Lady Gaga;None
Unholy;Sam Smith & Kim Petras;R&B, Pop, UK Pop, Electronic, TikTok, Dark Pop, Electro-Industrial, LGBTQ+, Alternative Pop, Alternative, Deutschland, UK, Alternative R&B, Dance-Pop;Blake Slatkin, Cirkut, ILYA, Jimmy Napes, Omer Fedi & Sam Smith;Blake Slatkin, Cirkut, ILYA, Jimmy Napes, Kim Petras, Omer Fedi & Sam Smith;None
Star Walkin' (League Of Legends Worlds Anthem);Lil Nas X;Rap, Pop, Soundtrack, Synth-Pop, Atlanta Rap, Hip-Hop, Pop Rap, Trap, Anthem, Gaming, Drill;Cirkut & Omer Fedi;Lil Nas X, Omer Fedi, Cirkut & Ink;Sony Music Entertainment
Tomorrow 2;GloRilla & Cardi B;Rap, East Coast, Hardcore Hip-Hop, Trap, DMV, Memphis, Remix;Macaroni Toni;GloRilla, Cardi B, Macaroni Toni & Pardison Fontaine;Universal Music Group
Bamba;Luciano & Aitch Featuring BIA;Rap, UK Drill, UK, UK Rap, Drill, Deutschsprachiger Drill, Deutschland;Geenaro & Ghana Beats;Luciano, Aitch, BIA, Geenaro & Ghana Beats;Universal URBAN
Rush Hour;Crush Featuring j-hope;R&B, K-R&B, Korean, K-Solo, South Korea, Genius Korea;None;Crush (크러쉬), 홍소진 (Hong So Jin), PENOMECO (페노메코) & j-hope;None
No Se Va;Grupo Frontera;Pop, En Español;None;None;None
I Really Want To Stay At Your House;Rosa Walton;Pop, Anime, Electro-Pop, Gaming, UK, Synth-Pop, Electronic, Hyperpop, Soundtrack;Rosa Walton;Rosa Walton;None
Yet To Come;BTS;Rap, K-Idol-Hip-Hop, Korean, Boy Band, South Korea, Genius Korea;Pdogg;Pdogg, RM, MAX, Dan Gleyzer, SUGA (슈가) & j-hope;None
Dice;NMIXX;Pop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;None;Dr. JO, Jam Factory, danke (lalala studio), 차이린 (Cha Lee Rin), Zaya (KOR), 박지현 (Park Ji Hyun) & 백새임 (Baek Sae Im);None
Baby Otaku;Pablo Pesadilla x Polima Westcoast x Nicko OG;Pop, Reggaetón, Chile, En Español, Latin Pop, Latin Urban, Latin Music;Pablito Pesadilla & Fran C;Polimá Westcoast, Fran C, Nickoog clk & Pablito Pesadilla;The Orchard
Billie Jean;Michael Jackson;R&B, Pop, Soundtrack, Synth-Pop, Disco, Dance-Pop, Singer-Songwriter, Eighties, Funk, Soul, Soul Pop;Quincy Jones & Michael Jackson;Michael Jackson;None
When I Was Your Man;Bruno Mars;R&B, Pop, Easy Listening, Adult Contemporary, Piano, Ballad, Soul Pop;The Smeezingtons;Ari Levine, Philip Lawrence, Andrew Wyatt &;None
Apocalypse;Cigarettes After Sex;Rock, Pop, Art Rock, Alternative Pop, Indie Pop, Alternative, Alternative Rock, Indie Rock, Indie, Art Pop, Slowcore, Ambient, Dream Pop;Greg Gonzalez;Greg Gonzalez;None
La Inocente;Mora & Feid;Pop, Reggaetón, Colombia, En Español, Puerto Rico, Latin Pop, Latin Urban, Latin Music;Subelo NEO, Machael & Jahmar;Feid & Mora;The Orchard
Bad Guy;Billie Eilish;Pop, Alternative Dance, Alternative, Dance, Electronic, Dark Pop, Alternative Pop, Dance-Pop, Electro-Pop, Electro;FINNEAS;Billie Eilish &;None
Celestial;Ed Sheeran;Pop, Nintendo, UK Pop, Electro-Pop, Gaming, Singer-Songwriter, UK;Ed Sheeran & Steve Mac;Ed Sheeran, Johnny McDaid & Steve Mac;None
The Blessing;YOASOBI;Pop, Genius Japan, TV, Soundtrack, Theme Song, Anime, J-Pop, Japanese, Japan;Ayase;Ayase;Bandai Namco Filmworks Inc.
Belki;Dedubluman Featuring Mavzer Tabancas;Rock, Türkçe Sözlü Rock, Türkiye, Turkey;Dedublüman;Mustafa Yavuz & Hazar Altın;None
We Fell In Love In October;girl in red;Rock, Dream Pop, Bedroom Pop, Scandinavia, LGBTQ+, Norge, Indie Monday, Indie Rock;girl in red;girl in red;None
Uh Oh;Tate McRae;Pop, Teen Pop, Canada;Louis Bell;Tate McRae, Ali Tamposi, Billy Walsh & Louis Bell;Sony Music Entertainment
How Do I Say Goodbye;Dean Lewis;Pop, Australia;Ed Holloway, Nick Atkinson, Jon Hume & Dean Lewis;Jon Hume & Dean Lewis;None
Besos Moja2;Wisin & Yandel + Rosalia;Pop, Spanish Pop, Spanish Urban, Spanish Music, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Los Legendarios, Luny Tunes & Noah Goldstein;Wisin, Yandel, ROSALÍA, Rafy Legendario, Marc Legendario, Luny & Tunes;None
Somewhere Only We Know;Keane;Pop, Rock, Adult Contemporary, Adult Alternative, Soft Rock, Alternative Pop, Piano Rock, Post-Britpop, British Rock, Easy Listening, Alternative, Ballad, Piano, Pop-Rock, Alternative Rock, UK;Andy Green, Keane & James Sanger;Tim Rice-Oxley, Tom Chaplin & Richard Hughes;None
Thinking Out Loud;Ed Sheeran;Rock, Pop, Singer-Songwriter, Folk, Adult Contemporary, Easy Listening, Bedroom Pop, Acoustic, Ballad, Soul, UK;Jake Gosling;Ed Sheeran & Amy Wadge;None
Case 143;Stray Kids;Pop, K-Pop (케이팝), Korean, Boy Band, South Korea, Genius Korea;None;BANG CHAN, CHANGBIN, HAN (Stray Kids), Raphael (라파엘) (KOR), Daviid (3scape) & Yosia (3scape);None
Kick Back;Kenshi Yonezu;Rock, Genius Japan, J-Rock, TV, Japanese, Japan, Soundtrack, Theme Song, Anime;常田大希 (Daiki Tsuneta) & 米津玄師 (Kenshi Yonezu);米津玄師 (Kenshi Yonezu) & つんく (TSUNKU);None
The Loneliest;Maneskin;Rock, Ballad, Italy;Fabrizio Ferraguzzo & Måneskin;Damiano David, Ethan Torchio, MNEK, Thomas Raggi, Victoria De Angelis, JHart, Sarah Hudson, Jason Evigan & Rami;Sony Music Entertainment
Miss You;Oliver Tree & Robin Schulz;Pop, Techno, House, Remix, Dance, Electronic;Robin Schulz;Oliver Tree, Marshmello & David Pramik;None
Punto 40;Rauw Alejandro & Baby Rasta;Pop, Puerto Rico, Reggaetón, En Español, Latin Pop, Latin Urban, Latin Music;Mr. Naisgai, Rauw Alejandro, Kenobi Sensei & Playero;Rauw Alejandro, Baby Rasta & Playero;None
Poland;Lil Yachty;Rap, TikTok, Electronic, Electronic Trap, Experimental Hip-Hop, Hip-Hop, Trap, Memes, Rage, Atlanta Rap;F1LTHY, Lukrative & Lucian (Neilaworld);Lil Yachty, F1LTHY, Lukrative & Lucian (Neilaworld);Universal Music Group
Dark Horse;Katy Perry Featuring Juicy J;Rap, Pop, Pop Rap, Electro-Pop, Hip-Hop, Memphis, Dark Pop, Trap;Cirkut, Max Martin & Dr. Luke;Dillon Sprecher, Katy Perry, Juicy J, Sarah Hudson, Dr. Luke, Max Martin & Cirkut;None
Overdose;natori;Pop, Romanized;None;None;None
After Dark;Mr.Kitty;Pop, Ambient Pop, Ambient, Dark Ambient, House, Dark Pop, Piano, Witch House, Post-Punk, New Wave, Synth-Pop, Electro-Pop, Electronic, Dark Wave;Mr.Kitty;Mr.Kitty;None
Leave The Door Open;Silk Sonic (Bruno Mars & Anderson .Paak);Pop, R&B, Pop-R&B, Motown, Soul Pop, Soul;D’Mile & Bruno Mars;Brody Brown, , Bruno Mars & Anderson .Paak;Warner Music Group
Can't Hold Us;Macklemore & Ryan Lewis Featuring Ray Dalton;Pop, Rap, Dance-Pop, Dance, Soul Rap, Soul Pop, Soul, Neo Soul, Pop Rap;Ryan Lewis;Ryan Lewis, Ray Dalton & Macklemore;None
California Breeze;Lil Baby;Rap, Atlanta Rap, Trap;Murda Beatz & Mars (German producer);Lil Baby, Murda Beatz, Mars (German producer), Coco O. & James Blake;Universal Music Group
Real Spill;Lil Baby;Rap, Intro, Atlanta Rap, Trap;G1 & Kaigoinkrazy;Ben Travers, Lil Baby, Sade Adu, G1 & Kaigoinkrazy;Universal Music Group
Forever;Lil Baby Featuring Fridayy;Rap, Alternative R&B, Emo Trap, Emo Rap, Atlanta Rap, Trap;Fridayy, Bizness Boi & Fortune;Lil Baby, Fridayy, Vory, Bizness Boi & Fortune;Universal Music Group
Pop Out;Lil Baby & Nardo Wick;Rap, Florida Rap, Atlanta Rap, Trap;Trademark, Eza (Producer) & ShortyyK;Lil Baby, Nardo Wick, Trademark, ShortyyK & Eza (Producer);Universal Music Group
Never Hating;Lil Baby & Young Thug;Rap, Atlanta Rap, Gangsta Rap, Trap;Wheezy, SirFredo & Ele Beatz;Wheezy, Lil Baby, Young Thug, SirFredo & Ele Beatz;Universal Music Group
Subtitle;Official HIGE DANdism;Pop, Genius Japan, Ballad, J-Pop, Japanese, Japan;藤原聡 (Satoshi Fujihara);藤原聡 (Satoshi Fujihara);None
Stand On It;Lil Baby;Rap, Atlanta Rap, Trap;Mattazik Muzik, NicoOnTheKeys & Figurez Made It;Lil Baby, Mattazik Muzik, NicoOnTheKeys & Figurez Made It;Universal Music Group
Heyy;Lil Baby;Rap, Memes, Atlanta Rap, Trap;King LeeBoy, Harto Beats & Hoops (Producer);Lil Baby, Hoops (Producer), King LeeBoy &;Universal Music Group
Not Finished;Lil Baby;Rap, Atlanta Rap, Trap;DY Krazy & B. March;Lil Baby, Cameron March, DY Krazy & B. March;Universal Music Group
In A Minute;Lil Baby;Rap, Motown, Atlanta Rap, Trap;Kaigoinkrazy & Haze (Producer);Howard New, James Elliott, Ellie Goulding, Kaigoinkrazy, Haze (Producer) & Lil Baby;Universal Music Group
Bye Bye;Marshmello & Juice WRLD;Rap, Emo Trap, Chicago Rap, Emo Rap, Trap;Marshmello;Juice WRLD & Marshmello;Universal Music Group
Perfect Timing;Lil Baby;Rap, Atlanta Rap, Trap;YC;Lil Baby & YC;Universal Music Group
Miss You;southstar;Pop, Cover, Remix, Trance, Techno, House;southstar;Oliver Tree, Chris Comstock & David Pramik;None
From Now On;Lil Baby Featuring Future;Rap, Atlanta Rap, Trap;Murda Beatz & Tay Keith;Lil Baby, Future, Murda Beatz, Tay Keith, Landstrip Chip & Roddy Ricch;Universal Music Group
Edging;Blink-182;Rock, Pop, Alternative Pop, Alternative Rock, Punk Rock, Pop-Punk;Travis Barker;Mark Hoppus, Travis Barker & Tom DeLonge;Sony Music Entertainment
Antifragile;LE SSERAFIM;Pop, Reggaetón, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;13 (KOR);SCORE (13), Megatone (13), Paulina Cerrilla, “hitman” Bang, Shintaro Yasuda, Supreme Boi, Isabella Lovestory, Kyler Niko, Ronnie Icon, Nathalie Boone & danke (lalala studio);None
Waterfall Flow;Lil Baby;Rap, Atlanta Rap, Trap;ATL Jacob & Ayo Sim;Lil Baby, ATL Jacob & Ayo Sim;Universal Music Group
Everything;Lil Baby;Rap, Atlanta Rap, Trap;Sevn Thomas & Sean Momberger;Lil Baby, Sevn Thomas, Sean Momberger & Boi-1da;Universal Music Group
Double Down;Lil Baby;Rap, Atlanta Rap, Trap;Awavy & Murda Beatz;Awavy, Murda Beatz & Lil Baby;Universal Music Group
Cost To Be Alive;Lil Baby & Rylo Rodriguez;Rap, Atlanta Rap, Trap;G1 & Chosen 1;Lil Baby, Rylo Rodriguez, , Chosen 1, Channing Pollock, Albert Willemetz, Jacques Charles, Jeuan Kiel Tabarrejo & Maurice Yvain;Universal Music Group
Shiest Talk;Lil Baby Featuring Pooh Shiesty;Rap, Memphis, Atlanta Rap, Trap;FranchiseDidIt & LilJuMadeDaBeat;Lil Baby, Pooh Shiesty, FranchiseDidIt & LilJuMadeDaBeat;Universal Music Group
Chainsaw Blood;VAUNDY;Rock, Genius Japan, J-Rock, TV, Japanese, Japan, Soundtrack, Theme Song, Anime;Vaundy;Vaundy;None
Mockingbird;Eminem;Rap, Letter, Detroit, Hip-Hop, Conscious Hip-Hop, Piano, Lullaby;Luis Resto & Eminem;Eminem &;None
Top Priority;Lil Baby;Rap, Atlanta Rap, Trap;DJ Champ & Beatsbyjuko;Lil Baby, Beatsbyjuko & DJ Champ;Universal Music Group
Back And Forth;Lil Baby & EST Gee;Rap, Atlanta Rap, Gangsta Rap, Trap;Tay Keith;Lil Baby, EST Gee & Tay Keith;Universal Music Group
Danger;Lil Baby;Rap, Atlanta Rap, Trap;Harto Beats & Anthony Palmer;Lil Baby, William Boyette, Anthony Palmer & Harto Beats;Universal Music Group
Russian Roulette;Lil Baby;Rap, Outro, Emo Trap, Emo Rap, Dark Trap, Conscious Hip-Hop, Atlanta Rap, Trap;Flex on the Beat & Saj;Lil Baby, Flex on the Beat & Saj;Universal Music Group
FR;Lil Baby;Rap, Atlanta Rap, Trap;Haze (Producer), Kaigoinkrazy & Josh Coleman (Producer);Lil Baby, Haze (Producer), Kaigoinkrazy & Josh Coleman (Producer);Universal Music Group
Just Wanna Rock;Lil Uzi Vert;Rap, Dance-Pop, Dance, Electronic Trap, Electro House, Electro-Pop, Electronic, House, TikTok, Bounce, East Coast, Pop Rap, Jersey Club;MCVertt & Synthetic;Lil Uzi Vert, MCVertt & Synthetic;Warner Music Group
Hey Mor;Ozuna Featuring Feid;Pop, Reggaetón, Colombia, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Sky Rompiendo;Ozuna, Feid, Sencillo305, Rios (PR), Sky Rompiendo & Hi Music Hi Flow;Sony Music Latin & The Orchard
Anti-Hero;Taylor Swift;Pop, Pop-Rock, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Lavender Haze;Taylor Swift;R&B, Pop, Funk-Pop, Electro-Pop, Electronic, Dream Pop, Alternative Pop, Singer-Songwriter;Sounwave, Jahaan Sweet, Jack Antonoff, Taylor Swift & Braxton Cook;Taylor Swift, Jack Antonoff, Zoë Kravitz, Sounwave, Jahaan Sweet & Sam Dew;Universal Music Group
Snow On The Beach;Taylor Swift Featuring Lana Del Rey;Pop, Holiday, Ballad, Dream Pop, Alternative, Alternative Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift, Lana Del Rey & Jack Antonoff;Universal Music Group
Maroon;Taylor Swift;Pop, Trap, Dream Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Midnight Rain;Taylor Swift;Pop, Electronic Trap, Electro House, House, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
You're On Your Own, Kid;Taylor Swift;Pop, Electro, Alternative Pop, Alternative, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Bejeweled;Taylor Swift;Pop, Bubblegum Pop, Nu Disco, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
Vigilante Shit;Taylor Swift;Pop, Electro-Industrial, Industrial, Electronic, Electro-Pop, Synth-Pop, Dark Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift;Universal Music Group
Karma;Taylor Swift;Pop, Techno, Alternative, Alternative Pop, New Wave, Electro, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Sounwave, Jack Antonoff, Keanu Beats, Taylor Swift & Jahaan Sweet;Taylor Swift, Jack Antonoff, Jahaan Sweet, Keanu Beats & Sounwave;Universal Music Group
Question...?;Taylor Swift;Pop, Industrial, Electro-Pop, Electronic, Singer-Songwriter, Synth-Pop;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Labyrinth;Taylor Swift;Pop, Alternative, Alternative Pop, Bedroom Pop, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Mastermind;Taylor Swift;Pop, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
Sweet Nothing;Taylor Swift;Pop, Dream Pop, Ballad, Electro-Pop, Electronic, Bedroom Pop, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Joe Alwyn;Universal Music Group
Monotonia;Shakira + Ozuna;Pop, Bachata, En Español, Puerto Rico, Latin Urban, Colombia, Latin Music, Latin Pop;Albert Hype, Ciey, KEITYN, Noise Up & Shakira;Shakira, Ozuna, Albert Hype, Ciey, KEITYN, Noise Up & Sergio Robledo;None
Would've, Could've, Should've;Taylor Swift;Pop, Soft Rock, Pop-Rock, Ballad, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Taylor Swift & Aaron Dessner;Taylor Swift & Aaron Dessner;Universal Music Group
Bigger Than The Whole Sky;Taylor Swift;Pop, Pop Country, Electro-Pop, Electronic, Ballad, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
The Great War;Taylor Swift;Pop, Alternative Pop, Ballad, Dream Pop, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Taylor Swift & Aaron Dessner;Taylor Swift & Aaron Dessner;Universal Music Group
Paris;Taylor Swift;Pop, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
