Title;Artist;Genre;Producers;Writers;Distributor
Tarot;Bad Bunny & Jhay Cortez;Pop, Dancehall, Latin Pop, Puerto Rico, En Español, Latin Urban, Latin Music;La Paciencia, Albert Hype, Jota Rosa & Tainy;Bad Bunny & Jhayco;The Orchard
Enemy;Imagine Dragons X JID;Rock, Rap, Pop, TV, Alternative Pop, Alternative, Gaming, Memes, Rap-Rock, Alternative Rock, Pop Rap, Pop-Rock, Soundtrack;Mattman & Robin;Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson, Justin Tranter &;None
Mary On A Cross;Ghost;Rock, Psychedelic, Alternative, Scandinavia, Sverige, Svensk Rock, Alternative Rock, Psychedelic Rock;Gene Walker & Tobias Forge;Vincent Pontare, Salem Al Fakir & Tobias Forge;None
You Proof;Morgan Wallen;R&B, Country, Singer-Songwriter, Honky Tonk, Alternative R&B, Synth-Pop, Trap, Pop Country;Charlie Handsome & Joey Moi;Ashley Gorley, ERNEST, Keith Smith, Morgan Wallen & Charlie Handsome;None
Party;Bad Bunny & Rauw Alejandro;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Richi López, La Paciencia, Albert Hype, Tainy & Jota Rosa;Rauw Alejandro & Bad Bunny;The Orchard
Lokera;Rauw Alejandro, Lyanno & Brray;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Caleb Calloway, Mr. Naisgai, Rauw Alejandro & Slow Jamz;Rauw Alejandro, Lyanno & Brray;Sony Music Latin & Duars Entertainment
Last Last;Burna Boy;Pop, Nigerian Pidgin, Nigeria, Afrobeats;Ruuben, MD$, Off & Out & Chopstix;Chopstix, Rodney Jerkins, LaShawn Daniels, James Malcolm Olagundoye, Harvey Mason Jr., Fred Jerkins III & Burna Boy;Atlantic Records
Perfect;Ed Sheeran;Pop, UK Pop, Soft Rock, Acoustic, Orchestral, Easy Listening, Piano, Singer-Songwriter, Adult Contemporary, Ballad, UK;benny blanco, Ed Sheeran & Will Hicks;Ed Sheeran;None
Hype Boy;NewJeans;Pop, Dance-Pop, Future Bass, K-Pop (케이팝), Korean, South Korea, Genius Korea, Girl Group;250;Hanni (NewJeans), Ylva Dimberg & Gigi (KOR);None
Golden Hour;JVKE;Pop, Hip-Hop, Indie Pop, Indie, Piano, Alternative Pop, Alternative;Zac Lawson & JVKE;Zac Lawson & JVKE;None
Yellow;Coldplay;Rock, Pop-Rock, British Rock, Post-Britpop, Ballad, Adult Alternative, Adult Contemporary, UK, Alternative Rock, Alternative;Ken Nelson & Coldplay;Guy Berryman, Jonny Buckland, & Chris Martin;None
New Genesis;Ado;Pop, Romanized;None;None;None
Bam Bam;Camila Cabello Featuring Ed Sheeran;Pop, En Español, UK, Latin Pop;Ricky Reed, Edge, Cheche Alara & Daniel Uribe;Scott Harris, Cheche Alara, Edge, Ricky Reed, Ed Sheeran & Camila Cabello;Sony Music Entertainment
