Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts
Dawns,Zach Bryan Featuring Maggie Rogers,126,99,99,2
Sunroof,Nicky Youre & dazy,127,120,26,38
Vibe,TAEYANG Featuring Jimin,128,95,12,4
Hotel Lobby (Unc And Phew),Quavo & Takeoff,129,129,77,20
Watermelon Sugar,Harry Styles,130,155,9,123
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,131,132,89,27
Subtitle,Official HIGE DANdism,132,119,29,17
Riptide,Vance Joy,133,127,100,74
Collide,Justine Skye Featuring Tyga,134,126,126,5
Shut Down,BLACKPINK,135,133,1,21
Gangsta's Paradise,Coolio Featuring L.V.,136,131,21,82
Rush,Ayra Starr,137,165,137,3
Take Me To Church,Hozier,138,137,123,98
One Thing At A Time,Morgan Wallen,139,-,77,2
Everybody Wants To Rule The World,Tears For Fears,140,147,108,28
Neverita,Bad Bunny,141,128,16,40
Everything I Love,Morgan Wallen,142,-,142,1
Moonlight Sunrise,TWICE,143,68,22,3
"Going, Going, Gone",Luke Combs,144,156,144,6
Counting Stars,OneRepublic,145,145,96,98
How Do I Say Goodbye,Dean Lewis,146,116,82,19
I'm Not The Only One,Sam Smith,147,162,94,21
Happier Than Ever,Billie Eilish,148,138,6,79
Watch The World Burn,Falling In Reverse,149,-,149,1
Komet,Udo Lindenberg & Apache 207,150,142,142,3
abcdefu,GAYLE,151,154,1,62
Sugar Rush Ride,TOMORROW X TOGETHER,152,44,44,2
Blank Space,Taylor Swift,153,144,144,26
Lokera,"Rauw Alejandro, Lyanno & Brray",154,125,55,26
Pepas,Farruko,155,141,7,82
Attention,NewJeans,156,152,54,16
Circles,Post Malone,157,171,49,123
Set Fire To The Rain,Adele,158,175,64,8
Pink Venom,BLACKPINK,159,146,1,25
The Hills,The Weeknd,160,150,44,53
In Da Club,50 Cent,161,164,44,44
Spit In My Face!,ThxSoMch,162,157,121,6
Dream On,Aerosmith,163,130,110,14
Thank God,Kane Brown With Katelyn Brown,164,149,62,17
Dance Monkey,Tones And I,165,158,16,122
Te Felicito,Shakira & Rauw Alejandro,166,140,11,36
The Real Slim Shady,Eminem,167,163,59,54
Smells Like Teen Spirit,Nirvana,168,166,92,102
Wasted On You,Morgan Wallen,169,-,19,50
Sweet Child O' Mine,Guns N' Roses,170,160,57,92
Lose Yourself,Eminem,171,177,25,48
Take On Me,a-ha,172,176,139,67
Party In The U.S.A.,Miley Cyrus,173,173,116,6
Don't Start Now,Dua Lipa,174,191,30,119
Say You Won't Let Go,James Arthur,175,-,96,77
505,Arctic Monkeys,176,167,94,48
Playa del Ingles,Quevedo & Mike Towers,177,151,128,4
Do I Wanna Know?,Arctic Monkeys,178,161,119,34
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,179,169,135,17
Normal,Feid,180,182,75,16
Freestyle,Lil Baby,181,-,169,8
Hotel California,Eagles,182,179,132,100
Someone Like You,Adele,183,-,33,40
Ch y La Pizza,Fuerza Regida X Natanael Cano,184,-,184,1
Bombonzinho,Israel & Rodolffo & Ana Castela,185,170,119,7
Love On The Brain,Rihanna,186,-,186,1
Running Up That Hill (A Deal With God),Kate Bush,187,168,1,36
Locked Out Of Heaven,Bruno Mars,188,195,116,25
My Universe,Coldplay x BTS,189,-,1,59
Industry Baby,Lil Nas X & Jack Harlow,190,178,2,80
Rolling In The Deep,Adele,191,-,42,24
Something Just Like This,The Chainsmokers & Coldplay,192,190,102,103
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,193,143,87,12
Mercho,Lil CaKe & Migrantes Featuring Nico Valdi,194,-,194,1
Ghost,Justin Bieber,195,188,16,70
In The End,Linkin Park,196,193,163,12
Ferrari,James Hype & Miggy Dela Rosa,197,174,25,31
Just The Way You Are,Bruno Mars,198,-,162,12
Call Out My Name,The Weeknd,199,181,97,31
Good Days,SZA,200,-,7,36
